ITEM	CATEGORY	EN (SV) ACTION	NEG	FIRST_TOKEN	FIRST_POS	LAST_TOKEN	LAST_POS
adequate to rule the patient out against	definiteNegatedExistence	forward	PREN	adequate	NN	against	IN
are ruled out	definiteNegatedExistence	backward	POST	are	VBP	out	IN
being ruled out	definiteNegatedExistence	backward	POST	being	VBG	out	IN
can be ruled out	definiteNegatedExistence	backward	POST	can	MD	out	IN
can rule him out	definiteNegatedExistence	forward	PREN	can	MD	out	IN
can rule him out against	definiteNegatedExistence	forward	PREN	can	MD	against	IN
can rule out	definiteNegatedExistence	forward	PREN	can	MD	out	IN
can rule out against	definiteNegatedExistence	forward	PREN	can	MD	against	IN
can rule the patient out against	definiteNegatedExistence	forward	PREN	can	MD	against	IN
cannot	definiteNegatedExistence	forward	PREN	cannot	MD	cannot	MD
cleared of	definiteNegatedExistence	forward	PREN	cleared	VBN	of	IN
declined	definiteNegatedExistence	forward	PREN	declined	VBD	declined	VBD
declines	definiteNegatedExistence	forward	PREN	declines	NNS	declines	NNS
denied	definiteNegatedExistence	forward	PREN	denied	VBD	denied	VBD
denies	definiteNegatedExistence	forward	PREN	denies	NNS	denies	NNS
deny	definiteNegatedExistence	forward	PREN	deny	NN	deny	NN
did rule her out	definiteNegatedExistence	forward	PREN	did	VBD	out	IN
did rule her out against	definiteNegatedExistence	forward	PREN	did	VBD	against	IN
did rule her out for	definiteNegatedExistence	forward	PREN	did	VBD	for	IN
did rule him out	definiteNegatedExistence	forward	PREN	did	VBD	out	IN
did rule him out against	definiteNegatedExistence	forward	PREN	did	VBD	against	IN
did rule him out for	definiteNegatedExistence	forward	PREN	did	VBD	for	IN
did rule out	definiteNegatedExistence	forward	PREN	did	VBD	out	IN
did rule out against	definiteNegatedExistence	forward	PREN	did	VBD	against	IN
did rule out for	definiteNegatedExistence	forward	PREN	did	VBD	for	IN
did rule the patient out	definiteNegatedExistence	forward	PREN	did	VBD	out	IN
did rule the patient out against	definiteNegatedExistence	forward	PREN	did	VBD	against	IN
did rule the patient out for	definiteNegatedExistence	forward	PREN	did	VBD	for	IN
excluded	definiteNegatedExistence	bidirectional	POST	excluded	VBN	excluded	VBN
free	definiteNegatedExistence	bidirectional	POST	free	JJ	free	JJ
free of	definiteNegatedExistence	forward	PREN	free	JJ	of	IN
has been ruled out	definiteNegatedExistence	backward	POST	has	VBZ	out	IN
have been ruled out	definiteNegatedExistence	backward	POST	have	VB	out	IN
is absent	definiteNegatedExistence	backward	POST	is	VBZ	absent	NN
is negative	definiteNegatedExistence	backward	POST	is	VBZ	negative	JJ
is ruled out	definiteNegatedExistence	backward	POST	is	VBZ	out	IN
negative examination for	definiteNegatedExistence	forward	PREN	negative	JJ	for	IN
negative for	definiteNegatedExistence	forward	PREN	negative	JJ	for	IN
neither	definiteNegatedExistence	forward	PREN	neither	DT	neither	DT
never developed	definiteNegatedExistence	forward	PREN	never	RB	developed	NN
never had	definiteNegatedExistence	forward	PREN	never	RB	had	VBD
no	definiteNegatedExistence	forward	PREN	no	DT	no	DT
no evidence	definiteNegatedExistence	forward	PREN	no	DT	evidence	NN
no new	definiteNegatedExistence	forward	PREN	no	DT	new	JJ
no other	definiteNegatedExistence	forward	PREN	no	DT	other	JJ
no support for	definiteNegatedExistence	forward	PREN	no	DT	for	IN
no suspicion of	definiteNegatedExistence	forward	PREN	no	DT	of	IN
not	definiteNegatedExistence	forward	PREN	not	RB	not	RB
not exhibit	definiteNegatedExistence	forward	PREN	not	RB	exhibit	NN
not had	definiteNegatedExistence	forward	PREN	not	RB	had	VBD
not have	definiteNegatedExistence	forward	PREN	not	RB	have	VB
not seen	definiteNegatedExistence	backward	POST	not	RB	seen	VBN
nothing	definiteNegatedExistence	forward	PREN	nothing	NN	nothing	NN
patient was not	definiteNegatedExistence	forward	PREN	patient	NN	not	RB
reject	definiteNegatedExistence	forward	PREN	reject	NN	reject	NN
rejected	definiteNegatedExistence	forward	PREN	rejected	VBN	rejected	VBN
resolved	definiteNegatedExistence	backward	POST	resolved	VBN	resolved	VBN
ruled her out	definiteNegatedExistence	forward	PREN	ruled	VBN	out	IN
ruled her out against	definiteNegatedExistence	forward	PREN	ruled	VBN	against	IN
ruled her out for	definiteNegatedExistence	forward	PREN	ruled	VBN	for	IN
ruled him out	definiteNegatedExistence	forward	PREN	ruled	VBN	out	IN
ruled him out against	definiteNegatedExistence	forward	PREN	ruled	VBN	against	IN
ruled him out for	definiteNegatedExistence	forward	PREN	ruled	VBN	for	IN
ruled out	definiteNegatedExistence	forward	PREN	ruled	VBN	out	IN
ruled out against	definiteNegatedExistence	forward	PREN	ruled	VBN	against	IN
ruled out for	definiteNegatedExistence	forward	PREN	ruled	VBN	for	IN
ruled the patient out	definiteNegatedExistence	forward	PREN	ruled	VBN	out	IN
ruled the patient out against	definiteNegatedExistence	forward	PREN	ruled	VBN	against	IN
ruled the patient out for	definiteNegatedExistence	forward	PREN	ruled	VBN	for	IN
rules her out	definiteNegatedExistence	forward	PREN	rules	NNS	out	IN
rules her out for	definiteNegatedExistence	forward	PREN	rules	NNS	for	IN
rules him out	definiteNegatedExistence	forward	PREN	rules	NNS	out	IN
rules him out for	definiteNegatedExistence	forward	PREN	rules	NNS	for	IN
rules out	definiteNegatedExistence	forward	PREN	rules	NNS	out	IN
rules out for	definiteNegatedExistence	forward	PREN	rules	NNS	for	IN
rules the patient out	definiteNegatedExistence	forward	PREN	rules	NNS	out	IN
rules the patient out for	definiteNegatedExistence	forward	PREN	rules	NNS	for	IN
was ruled out	definiteNegatedExistence	backward	POST	was	VBD	out	IN
with no	definiteNegatedExistence	forward	PREN	with	IN	no	DT
without	definiteNegatedExistence	forward	PREN	without	IN	without	IN
absence of	probableNegatedExistence	forward	PREP	absence	NN	of	IN
