ITEM	CATEGORY	EN (SV) ACTION	NEG	FIRST_TOKEN	FIRST_POS	LAST_TOKEN	LAST_POS	TYPE
adequate to rule the patient out against	definiteNegatedExistence	forward	PREN	adequate	NN	against	IN	PP
are ruled out	definiteNegatedExistence	backward	POST	are	VBP	out	IN	VP-P
being ruled out	definiteNegatedExistence	backward	POST	being	VBG	out	IN	VP-P
can be ruled out	definiteNegatedExistence	backward	POST	can	MD	out	IN	VP-P
can rule him out	definiteNegatedExistence	forward	PREN	can	MD	out	IN	VP-A
can rule him out against	definiteNegatedExistence	forward	PREN	can	MD	against	IN	PP
can rule out	definiteNegatedExistence	forward	PREN	can	MD	out	IN	VP-A
can rule out against	definiteNegatedExistence	forward	PREN	can	MD	against	IN	PP
can rule the patient out against	definiteNegatedExistence	forward	PREN	can	MD	against	IN	PP
cannot	definiteNegatedExistence	forward	PREN	cannot	MD	cannot	MD	ADVP
cleared of	definiteNegatedExistence	forward	PREN	cleared	VBN	of	IN	PP
declined	definiteNegatedExistence	forward	PREN	declined	VBD	declined	VBD	VP-A
declines	definiteNegatedExistence	forward	PREN	declines	NNS	declines	NNS	VP-A
denied	definiteNegatedExistence	forward	PREN	denied	VBD	denied	VBD	VP-A
denies	definiteNegatedExistence	forward	PREN	denies	NNS	denies	NNS	VP-A
deny	definiteNegatedExistence	forward	PREN	deny	NN	deny	NN	VP-A
did rule her out	definiteNegatedExistence	forward	PREN	did	VBD	out	IN	VP-A
did rule her out against	definiteNegatedExistence	forward	PREN	did	VBD	against	IN	PP
did rule her out for	definiteNegatedExistence	forward	PREN	did	VBD	for	IN	PP
did rule him out	definiteNegatedExistence	forward	PREN	did	VBD	out	IN	VP-A
did rule him out against	definiteNegatedExistence	forward	PREN	did	VBD	against	IN	PP
did rule him out for	definiteNegatedExistence	forward	PREN	did	VBD	for	IN	PP
did rule out	definiteNegatedExistence	forward	PREN	did	VBD	out	IN	VP-A
did rule out against	definiteNegatedExistence	forward	PREN	did	VBD	against	IN	PP
did rule out for	definiteNegatedExistence	forward	PREN	did	VBD	for	IN	PP
did rule the patient out	definiteNegatedExistence	forward	PREN	did	VBD	out	IN	VP-A
did rule the patient out against	definiteNegatedExistence	forward	PREN	did	VBD	against	IN	PP
did rule the patient out for	definiteNegatedExistence	forward	PREN	did	VBD	for	IN	PP
excluded	definiteNegatedExistence	bidirectional	POST	excluded	VBN	excluded	VBN	VP-P
free	definiteNegatedExistence	bidirectional	POST	free	JJ	free	JJ	ADJP-P
free of	definiteNegatedExistence	forward	PREN	free	JJ	of	IN	PP
has been ruled out	definiteNegatedExistence	backward	POST	has	VBZ	out	IN	VP-P
have been ruled out	definiteNegatedExistence	backward	POST	have	VB	out	IN	VP-P
is absent	definiteNegatedExistence	backward	POST	is	VBZ	absent	NN	ADJP-P
is negative	definiteNegatedExistence	backward	POST	is	VBZ	negative	JJ	ADJP-P
is ruled out	definiteNegatedExistence	backward	POST	is	VBZ	out	IN	ADJP-P
negative examination for	definiteNegatedExistence	forward	PREN	negative	JJ	for	IN	PP
negative for	definiteNegatedExistence	forward	PREN	negative	JJ	for	IN	ADJP-A
neither	definiteNegatedExistence	forward	PREN	neither	DT	neither	DT	NP
never developed	definiteNegatedExistence	forward	PREN	never	RB	developed	NN	VP-A
never had	definiteNegatedExistence	forward	PREN	never	RB	had	VBD	VP-A
no	definiteNegatedExistence	forward	PREN	no	DT	no	DT	NP
no evidence	definiteNegatedExistence	forward	PREN	no	DT	evidence	NN	NP
no new	definiteNegatedExistence	forward	PREN	no	DT	new	JJ	NP
no other	definiteNegatedExistence	forward	PREN	no	DT	other	JJ	NP
no support for	definiteNegatedExistence	forward	PREN	no	DT	for	IN	PP
no suspicion of	definiteNegatedExistence	forward	PREN	no	DT	of	IN	PP
not	definiteNegatedExistence	forward	PREN	not	RB	not	RB	ADVP-A
not exhibit	definiteNegatedExistence	forward	PREN	not	RB	exhibit	NN	ADVP-A
not had	definiteNegatedExistence	forward	PREN	not	RB	had	VBD	ADVP-A
not have	definiteNegatedExistence	forward	PREN	not	RB	have	VB	ADVP-A
not seen	definiteNegatedExistence	backward	POST	not	RB	seen	VBN	ADVP-P
nothing	definiteNegatedExistence	forward	PREN	nothing	NN	nothing	NN	NP
patient was not	definiteNegatedExistence	forward	PREN	patient	NN	not	RB	ADVP-A
reject	definiteNegatedExistence	forward	PREN	reject	NN	reject	NN	VP-A
rejected	definiteNegatedExistence	forward	PREN	rejected	VBN	rejected	VBN	VP-A
resolved	definiteNegatedExistence	backward	POST	resolved	VBN	resolved	VBN	VP-P
ruled her out	definiteNegatedExistence	forward	PREN	ruled	VBN	out	IN	VP-A
ruled her out against	definiteNegatedExistence	forward	PREN	ruled	VBN	against	IN	PP
ruled her out for	definiteNegatedExistence	forward	PREN	ruled	VBN	for	IN	PP
ruled him out	definiteNegatedExistence	forward	PREN	ruled	VBN	out	IN	VP-A
ruled him out against	definiteNegatedExistence	forward	PREN	ruled	VBN	against	IN	PP
ruled him out for	definiteNegatedExistence	forward	PREN	ruled	VBN	for	IN	PP
ruled out	definiteNegatedExistence	forward	PREN	ruled	VBN	out	IN	VP-A
ruled out against	definiteNegatedExistence	forward	PREN	ruled	VBN	against	IN	PP
ruled out for	definiteNegatedExistence	forward	PREN	ruled	VBN	for	IN	PP
ruled the patient out	definiteNegatedExistence	forward	PREN	ruled	VBN	out	IN	VP-A
ruled the patient out against	definiteNegatedExistence	forward	PREN	ruled	VBN	against	IN	PP
ruled the patient out for	definiteNegatedExistence	forward	PREN	ruled	VBN	for	IN	PP
rules her out	definiteNegatedExistence	forward	PREN	rules	NNS	out	IN	VP-A
rules her out for	definiteNegatedExistence	forward	PREN	rules	NNS	for	IN	PP
rules him out	definiteNegatedExistence	forward	PREN	rules	NNS	out	IN	VP-A
rules him out for	definiteNegatedExistence	forward	PREN	rules	NNS	for	IN	PP
rules out	definiteNegatedExistence	forward	PREN	rules	NNS	out	IN	VP-A
rules out for	definiteNegatedExistence	forward	PREN	rules	NNS	for	IN	PP
